State,Index_code,Area_name, CLF14 , EMP14 , UNEMP14 ,URATE14, CLF15 , EMP15 , UNEMP15 ,URATE15, CLF16 , EMP16 , UNEMP16 ,URATE16, CLF17 , EMP17 , UNEMP17 ,URATE17, CLF18 , EMP18 , UNEMP18 ,URATE18,MHI17,MHI%ofState17
US,,United States,"155,957,297","146,338,305","9,618,992",6.2,"156,866,585","148,579,026","8,287,559",5.3,"158,708,795","150,981,151","7,727,644",4.9,"160,273,906","153,293,830","6,980,076",4.4,"161,640,488","155,344,043","6,296,445",3.9,60336,
AL,0,Alabama," 2,160,842 "," 2,014,290 "," 146,552 ",6.8," 2,158,293 "," 2,026,898 "," 131,395 ",6.1," 2,177,209 "," 2,049,971 "," 127,238 ",5.8,2178243,2081676,96567,4.4,"2,198,837","2,112,347","86,490",3.9,48193,100.0
AL,1,"Autauga County, AL"," 25,592 "," 24,097 "," 1,495 ",5.8," 25,613 "," 24,283 "," 1,330 ",5.2," 25,966 "," 24,645 "," 1,321 ",5.1,25972,24958,1014,3.9,"25,957","25,015",942,3.6,58343,121.1
AL,2,"Baldwin County, AL"," 86,384 "," 81,083 "," 5,301 ",6.1," 87,741 "," 82,882 "," 4,859 ",5.5," 90,670 "," 85,839 "," 4,831 ",5.3,92090,88342,3748,4.1,"93,849","90,456","3,393",3.6,56607,117.5
AL,3,"Barbour County, AL"," 8,845 "," 7,913 ", 932 ,10.5," 8,613 "," 7,848 ", 765 ,8.9," 8,417 "," 7,717 ", 700 ,8.3,8317,7831,486,5.8,"8,373","7,940",433,5.2,32490,67.4
AL,4,"Bibb County, AL"," 8,559 "," 7,942 ", 617 ,7.2," 8,576 "," 8,009 ", 567 ,6.6," 8,623 "," 8,067 ", 556 ,6.4,8550,8174,376,4.4,"8,661","8,317",344,4.0,45795,95.0
AL,5,"Blount County, AL"," 24,527 "," 23,023 "," 1,504 ",6.1," 24,485 "," 23,163 "," 1,322 ",5.4," 24,623 "," 23,298 "," 1,325 ",5.4,24725,23726,999,4.0,"25,006","24,128",878,3.5,48253,100.1
AL,6,"Bullock County, AL"," 4,732 "," 4,314 ", 418 ,8.8," 4,779 "," 4,400 ", 379 ,7.9," 4,833 "," 4,503 ", 330 ,6.8,4833,4595,238,4.9,"4,776","4,552",224,4.7,29113,60.4
AL,7,"Butler County, AL"," 9,270 "," 8,477 ", 793 ,8.6," 9,138 "," 8,444 ", 694 ,7.6," 9,206 "," 8,571 ", 635 ,6.9,8941,8446,495,5.5,"8,914","8,487",427,4.8,36842,76.4
AL,8,"Calhoun County, AL"," 47,237 "," 43,467 "," 3,770 ",8.0," 45,928 "," 42,699 "," 3,229 ",7.0," 45,902 "," 42,906 "," 2,996 ",6.5,45770,43497,2273,5.0,"45,972","43,833","2,139",4.7,45937,95.3
AL,9,"Chambers County, AL"," 15,302 "," 14,276 "," 1,026 ",6.7," 14,980 "," 14,076 ", 904 ,6.0," 15,006 "," 14,188 ", 818 ,5.5,15200,14579,621,4.1,"15,276","14,679",597,3.9,36883,76.5
AL,10,"Cherokee County, AL"," 11,386 "," 10,725 ", 661 ,5.8," 11,162 "," 10,554 ", 608 ,5.4," 11,353 "," 10,780 ", 573 ,5.0,11340,10877,463,4.1,"11,622","11,207",415,3.6,44842,93.0
AZ,0,Arizona," 3,099,884 "," 2,889,380 "," 210,504 ",6.8," 3,166,615 "," 2,974,540 "," 192,075 ",6.1," 3,240,590 "," 3,066,011 "," 174,579 ",5.4,3327949,3165127,162822,4.9,"3,439,755","3,273,550","166,205",4.8,56508,100.0
AZ,1,"Apache County, AZ"," 21,213 "," 17,890 "," 3,323 ",15.7," 20,607 "," 17,869 "," 2,738 ",13.3," 20,320 "," 17,984 "," 2,336 ",11.5,20409,18302,2107,10.3,"20,665","18,585","2,080",10.1,33053,58.5
